
Found 9 files in total.
=========================================================================================================

FILE: 000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json
Total chunks: 46
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
000837_Stern_Maddrax-347_9783838733357_06_part26   | novel                | implicit_chapter_jpg | 5489
000837_Stern_Maddrax-347_9783838733357_06_part27   | novel                | implicit_chapter_jpg | 3819
000837_Stern_Maddrax-347_9783838733357_06_part28   | novel                | implicit_chapter_jpg | 10646
000837_Stern_Maddrax-347_9783838733357_06_part29   | novel                | implicit_chapter_jpg | 6719
000837_Stern_Maddrax-347_9783838733357_06_part30   | novel                | implicit_chapter_jpg | 3704
000837_Stern_Maddrax-347_9783838733357_06_part31   | novel                | implicit_chapter_jpg | 6989
000837_Stern_Maddrax-347_9783838733357_06_part32   | novel                | implicit_chapter_jpg | 7179
000837_Stern_Maddrax-347_9783838733357_06_part33   | novel                | implicit_chapter_jpg | 6128
000837_Stern_Maddrax-347_9783838733357_06_part34   | novel                | implicit_chapter_jpg | 21630
000837_Stern_Maddrax-347_9783838733357_06_part35   | novel                | implicit_chapter_jpg | 14714
000837_Stern_Maddrax-347_9783838733357_07          | endnotes             | non-chapter          | 1342
000837_Stern_Maddrax-347_9783838733357_08          | unkown               | non-chapter          | 15560
000837_Stern_Maddrax-347_9783838733357_09          | unkown               | non-chapter          | 9190
000837_Stern_Maddrax-347_9783838733357_10          | preview              | non-chapter          | 1203
000837_Stern_Maddrax-347_9783838733357_11          | feedback             | non-chapter          | 1737
000837_Stern_Maddrax-347_9783838733357_12          | reading-sample       | non-chapter          | 5408
=========================================================================================================

FILE: 000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json
Total chunks: 14
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_01     | cover                | non-chapter          | 231
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_02     | toc                  | non-chapter          | 528
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_03     | imprint              | non-chapter          | 1906
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_04     | unkown               | non-chapter          | 4043
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_05     | unkown               | non-chapter          | 2384
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_06     | chapter              | explicit_chapter     | 48148
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_07     | chapter              | explicit_chapter     | 62643
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_08     | chapter              | explicit_chapter     | 65685
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_09     | chapter              | explicit_chapter     | 39182
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_10     | chapter              | explicit_chapter     | 29548
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_11     | unkown               | non-chapter          | 263
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_12     | preview              | non-chapter          | 2940
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_13     | feedback             | non-chapter          | 296
000871_Vlcek_Das-Haus-Zamis-3_9783751705271_14     | reading-sample       | non-chapter          | 4414
=========================================================================================================

FILE: 000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json
Total chunks: 14
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_01 | cover                | non-chapter          | 231
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_02 | toc                  | non-chapter          | 531
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_03 | imprint              | non-chapter          | 2108
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_04 | unkown               | non-chapter          | 3989
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_05 | unkown               | non-chapter          | 2330
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_06 | chapter              | explicit_chapter     | 65327
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_07 | chapter              | explicit_chapter     | 47922
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_08 | chapter              | explicit_chapter     | 61307
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_09 | chapter              | explicit_chapter     | 71461
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_10 | chapter              | explicit_chapter     | 58936
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_11 | unkown               | non-chapter          | 10458
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_12 | preview              | non-chapter          | 2803
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_13 | feedback             | non-chapter          | 291
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_14 | reading-sample       | non-chapter          | 5238
=========================================================================================================

FILE: G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition).json
Total chunks: 22
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_01 | unkown               | non-chapter          | 74
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_02 | toc                  | non-chapter          | 414
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_03 | imprint              | non-chapter          | 449
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_04 | unkown               | non-chapter          | 2192
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_05 | chapter              | explicit_chapter     | 13846
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_06 | chapter              | explicit_chapter     | 16345
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_07 | chapter              | explicit_chapter     | 32368
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_08 | chapter              | explicit_chapter     | 28102
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_09 | chapter              | explicit_chapter     | 35775
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_10 | chapter              | explicit_chapter     | 39605
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_11 | chapter              | explicit_chapter     | 23562
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_12 | chapter              | explicit_chapter     | 21750
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_13 | chapter              | explicit_chapter     | 27335
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_14 | chapter              | explicit_chapter     | 21884
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_15 | chapter              | explicit_chapter     | 22826
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_16 | chapter              | explicit_chapter     | 18957
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_17 | chapter              | explicit_chapter     | 20388
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_18 | preview              | non-chapter          | 916
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_19 | unkown               | non-chapter          | 681
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_20 | unkown               | non-chapter          | 1621
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_21 | unkown               | non-chapter          | 1079
G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_22 | reading-sample       | non-chapter          | 1676
=========================================================================================================

--- End of Report ---
