
Found 9 files in total.
=========================================================================================================

FILE: 000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json
Total chunks: 46
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_07_09 | chapter              | explicit_chapter     | 30787
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_07_10 | chapter              | explicit_chapter     | 31237
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_07_11 | chapter              | explicit_chapter     | 33570
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_07_12 | chapter              | explicit_chapter     | 33307
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_07_13 | chapter              | explicit_chapter     | 34906
000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau_07_14 | epilogue             | non-chapter          | 8110
=========================================================================================================

FILE: 000151_Fernthaler_Alpengold-265_9783732560165.json
Total chunks: 29
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000151_Fernthaler_Alpengold-265_9783732560165_02   | toc                  | non-chapter          | 325
000151_Fernthaler_Alpengold-265_9783732560165_03   | imprint              | non-chapter          | 2374
000151_Fernthaler_Alpengold-265_9783732560165_04   | prelude              | non-chapter          | 2001
000151_Fernthaler_Alpengold-265_9783732560165_05_part01 | novel                | implicit_chapter_stars | 19722
000151_Fernthaler_Alpengold-265_9783732560165_05_part02 | novel                | implicit_chapter_stars | 18455
000151_Fernthaler_Alpengold-265_9783732560165_05_part03 | novel                | implicit_chapter_stars | 4606
000151_Fernthaler_Alpengold-265_9783732560165_05_part04 | novel                | implicit_chapter_stars | 5640
000151_Fernthaler_Alpengold-265_9783732560165_05_part05 | novel                | implicit_chapter_stars | 6911
000151_Fernthaler_Alpengold-265_9783732560165_05_part06 | novel                | implicit_chapter_stars | 16264
000151_Fernthaler_Alpengold-265_9783732560165_05_part07 | novel                | implicit_chapter_stars | 8011
000151_Fernthaler_Alpengold-265_9783732560165_05_part08 | novel                | implicit_chapter_stars | 26973
000151_Fernthaler_Alpengold-265_9783732560165_05_part09 | novel                | implicit_chapter_stars | 18405
000151_Fernthaler_Alpengold-265_9783732560165_05_part10 | novel                | implicit_chapter_stars | 17119
000151_Fernthaler_Alpengold-265_9783732560165_05_part11 | novel                | implicit_chapter_stars | 3522
000151_Fernthaler_Alpengold-265_9783732560165_05_part12 | novel                | implicit_chapter_stars | 6474
000151_Fernthaler_Alpengold-265_9783732560165_05_part13 | novel                | implicit_chapter_stars | 16366
000151_Fernthaler_Alpengold-265_9783732560165_05_part14 | novel                | implicit_chapter_stars | 35397
000151_Fernthaler_Alpengold-265_9783732560165_05_part15 | novel                | implicit_chapter_stars | 30503
000151_Fernthaler_Alpengold-265_9783732560165_05_part16 | novel                | implicit_chapter_stars | 13159
000151_Fernthaler_Alpengold-265_9783732560165_05_part17 | novel                | implicit_chapter_stars | 6040
000151_Fernthaler_Alpengold-265_9783732560165_05_part18 | novel                | implicit_chapter_stars | 7300
000151_Fernthaler_Alpengold-265_9783732560165_05_part19 | novel                | implicit_chapter_stars | 2371
000151_Fernthaler_Alpengold-265_9783732560165_05_part20 | novel                | implicit_chapter_stars | 9226
000151_Fernthaler_Alpengold-265_9783732560165_05_part21 | novel                | implicit_chapter_stars | 18788
000151_Fernthaler_Alpengold-265_9783732560165_05_part22 | novel                | implicit_chapter_stars | 17852
000151_Fernthaler_Alpengold-265_9783732560165_05_part23 | novel                | implicit_chapter_stars | 9856
000151_Fernthaler_Alpengold-265_9783732560165_06   | preview              | non-chapter          | 2525
000151_Fernthaler_Alpengold-265_9783732560165_07   | feedback             | non-chapter          | 1510
000151_Fernthaler_Alpengold-265_9783732560165_08   | reading-sample       | non-chapter          | 7424
=========================================================================================================

FILE: 000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json
Total chunks: 52
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_01 | cover                | non-chapter          | 71
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_02 | toc                  | non-chapter          | 261
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_03 | imprint              | non-chapter          | 2172
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_04 | unkown               | non-chapter          | 1711
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part01 | novel                | implicit_chapter_stars | 6071
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part02 | novel                | implicit_chapter_stars | 6679
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part03 | novel                | implicit_chapter_stars | 8442
