ID	Title	Publisher	Series	Date	publisher_tier	book_type	series_size_category	sampling_strategy	temporal_position
1046144766	Ein Kuss für jedes 'Ja	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1046146459	Eine zu wenig im Bett	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1062782879	Schicksalsherzen: Der Zauber deiner Lippen	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
107825611X	Weihnachtsmärchen in Virgin River	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1080368213	Atlantis - Der Drachenkrieger	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1081248491	Wie angelt man sich einen Vampir?	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1081248688	Unter dem Vanillemond	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1089059868	Zweimal Himmel und zurück	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1095886614	Der Schönere gibt nach	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1140238345	Frühlingsherzen: Nimm mich, wie ich bin	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1140238876	Erben der Sehnsucht: Küsse - heiß wie die Sonne Siziliens	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1144625211	Die Wild-Seasons-Serie - Teil 1 & 2	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1175426776	Sündig - Brich alle Regeln : Sex & The Office Teil 1	MIRA Taschenbuch	?		A	Standalone		Random (Standalone)	
1176501488	Das Dante-Inferno - brennendes Verlangen : 8-teilige Serie	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176517813	Geschieht ein Wunder in dieser Nacht?	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176518755	Siebter Himmel - Guadeloupe	CORA Verlag	?		A	Standalone		Random (Standalone)	
117661634X	Sehnsucht, die nie vergeht	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176617389	Mein heiß geliebter Feind : Digital Edition	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176621718	Das Scheich-Imperium (3-teilige Serie) : eBundle	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176622412	Der Prinz und die Tänzerin	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176625780	Zärtliche Eroberung	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176635891	Der süße Duft des Todes	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176638122	Bestsellerautorin Carole Mortimer	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176653644	Sündiges Verlangen einer Lady	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176788418	Alle meine Träume erfüllen sich	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176807854	Mein skandalöser Viscount	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176876899	Der stolze Wüstenprinz und das Model	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176877356	Spiel um Glück und Liebe	CORA Verlag	?		A	Standalone		Random (Standalone)	
117688395X	Liebesreise nach Italien	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176948407	Bittersüße Heimkehr	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176953702	Ein Abenteurer und Gentleman	CORA Verlag	?		A	Standalone		Random (Standalone)	
1176967711	Stern der Liebe	CORA Verlag	?		A	Standalone		Random (Standalone)	
1177024411	Süßes zum Dessert	CORA Verlag	?		A	Standalone		Random (Standalone)	
1177026929	Entführt in den Palast des Prinzen	CORA Verlag	?		A	Standalone		Random (Standalone)	
1177027534	Die Newports - Dynastie der Leidenschaft - 6-teilige Serie	CORA Verlag	?		A	Standalone		Random (Standalone)	
117702943X	Chaos der Gefühle	CORA Verlag	?		A	Standalone		Random (Standalone)	
1177036290	Romantische Insel im blauen Meer	CORA Verlag	?		A	Standalone		Random (Standalone)	
1177122359	Viel Lust und noch mehr Liebe	CORA Verlag	?		A	Standalone		Random (Standalone)	
1177127040	In den Fängen der Dukes - unzähmbare Leidenschaft - 6-teilige Serie	CORA Verlag	?		A	Standalone		Random (Standalone)	
1178674401	Meine Wahrheit 02-2019	Kelter Media	?	2019.0	A	Standalone		Random (Standalone)	
1180037898	Liebe und andere Köstlichkeiten	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1180037987	Limonadentage	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1180040139	Nora Roberts - Die MacKade-Saga (4in1)	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1180041151	Nur eine königliche Affäre?	CORA Verlag	?	2019.0	A	Standalone		Random (Standalone)	
1182692990	Sexy Biker und andere Gefahren	CORA Verlag	?	2019.0	A	Standalone		Random (Standalone)	
1182693121	Gefahr für Lilys Herz	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1182693180	Die Kirschen der Madame Richard	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1186261757	Dr. Laurin Staffel 12 – Arztroman	Kelter Media	?	2019.0	A	Standalone		Random (Standalone)	
1190286777	Lord Cameron 4 – Familienroman	Kelter Media	?	2019.0	A	Standalone		Random (Standalone)	
1193257379	Historical Saison Band 66	CORA Verlag	?	2019.0	A	Standalone		Random (Standalone)	
1193257808	Julia Saison Band 51	CORA Verlag	?	2019.0	A	Standalone		Random (Standalone)	
1193258715	Die kleine Chocolaterie am Meer	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1197308792	Iceman Brothers - Ty & Phoebe	MIRA Taschenbuch	?	2019.0	A	Standalone		Random (Standalone)	
1202609775	Bianca Exklusiv Band 319	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1207551643	Das wilde Herz der Highlands	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
120936221X	Party mit Überraschungen	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1212668898	Verführt von einem dunklen Ritter	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1212668936	Ein unverbesserlicher Playboy?	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1212669037	Eine unfassbar sinnliche Scheinehe	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1214444520	Sommer der Versuchung	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1214445292	Bianca Extra Band 86	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1217850244	Ein heißer Wunsch wird wahr	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1218689625	Butler Parker Staffel 12 – Kriminalroman	Kelter Media	?	2020.0	A	Standalone		Random (Standalone)	
1219743003	Historical Weihnachten Band 13	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1219743380	Julia Saison Band 58	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1221371770	Miss Melanies sinnlichste Versuchung	CORA Verlag	?	2020.0	A	Standalone		Random (Standalone)	
1233430602	Der neue Landdoktor Paket 1 – Arztroman	Kelter Media	?	2021.0	A	Standalone		Random (Standalone)	
1236367324	In den Armen des verführerischen Griechen (2-teilige Serie)	CORA Verlag	?	2021.0	A	Standalone		Random (Standalone)	
1239908997	Romana Sommeredition Band 2	CORA Verlag	?	2021.0	A	Standalone		Random (Standalone)	
1239910169	Erst Nanny, dann neue Liebe?	CORA Verlag	?	2021.0	A	Standalone		Random (Standalone)	
1242047999	Romana Weihnachten Band 21	CORA Verlag	?	2021.0	A	Standalone		Random (Standalone)	
1243515198	Das Berghotel 257	Bastei Lübbe	?	2021.0	A	Standalone		Random (Standalone)	
1244380237	Der Bergpfarrer Extra 42 – Heimatroman	Kelter Media	?	2021.0	A	Standalone		Random (Standalone)	
1245865129	Die Notärztin 1444	Bastei Lübbe	?	2021.0	A	Standalone		Random (Standalone)	
1246446618	Notarzt Dr. Winter 22 – Arztroman	Kelter Media	?	2021.0	A	Standalone		Random (Standalone)	
1246446731	Chefarzt Dr. Norden Staffel 8 – Arztroman	Kelter Media	?	2021.0	A	Standalone		Random (Standalone)	
1246446863	Mami Classic 78 – Familienroman	Kelter Media	?	2021.0	A	Standalone		Random (Standalone)	
