Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
openai_gpt-oss-120b,0.8984771573604061,0.8088521855188522,0.8149756121354014,0.809660226824903,0.8867986138970679,197
deepseek_deepseek-v3.2,0.8578680203045685,0.820291195275886,0.8406538386498877,0.8078739441094559,0.8646581655619935,197
moonshotai_kimi-k2-0905,0.8324873096446701,0.8069769835216059,0.8238566969076186,0.7862867535391151,0.8482249117657814,197
openai_gpt-oss-20b,0.8274111675126904,0.7590854264225911,0.71698541605697,0.7244223041478892,0.8044026559811763,197
nvidia_nemotron-3-nano-30b-a3b,0.8071065989847716,0.7315972554016031,0.64625,0.6603504898685678,0.7857765718950871,197
