Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
openai_gpt-oss-120b,0.849624060150376,0.7656353003721424,0.7136096256684492,0.7306325468040323,0.8619630665230708,133
deepseek_deepseek-v3.2,0.7969924812030075,0.7771769074140615,0.7359759358288769,0.7299587028487284,0.8301211560138929,133
moonshotai_kimi-k2-0905,0.7744360902255639,0.7682967749953398,0.724946524064171,0.7161886166137043,0.8115233910073758,133
nvidia_nemotron-3-nano-30b-a3b,0.706766917293233,0.7142940091309656,0.5802083333333333,0.6180556983865807,0.7514782302321001,133
openai_gpt-oss-20b,0.7368421052631579,0.6430134680134679,0.5879812834224599,0.6056961709261951,0.7672086601482732,133
