Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
z-ai_glm-5,0.975,0.9895833333333333,0.9906716417910448,0.9897202561509942,0.9750589821368385,200
qwen_qwen3.5-397b-a17b,0.975,0.9895833333333333,0.9906716417910448,0.9897202561509942,0.9750589821368385,200
mistralai_mistral-large-2512,0.955,0.8730885516599803,0.8688155956812673,0.8704728524872409,0.9569756502490315,200
meta-llama_llama-3.3-70b-instruct,0.9,0.9198774509803921,0.8642919580419581,0.8590898219505714,0.8920173266011162,200
deepseek_deepseek-v3.2-speciale,0.965,0.850352733686067,0.8664579201892635,0.856061498218361,0.9698610910375617,200
