Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
openai_gpt-oss-120b,0.895,0.8425252525252525,0.8031618644744193,0.8133650872830516,0.8829547307829082,200
deepseek_deepseek-v3.2,0.855,0.8518095979558431,0.8241713225317263,0.8118868160641523,0.8610846021182883,200
moonshotai_kimi-k2-0905,0.83,0.8408863066757803,0.810428206560779,0.7942258990436809,0.8449027474781597,200
nvidia_nemotron-3-nano-30b-a3b,0.805,0.775649320486277,0.6635416666666667,0.6887308038718128,0.7838469471549796,200
openai_gpt-oss-20b,0.82,0.7061447811447811,0.67753352222843,0.6819966446460236,0.794437927733093,200
