filename	explicit_chapter	implicit_chapter_stars	implicit_chapter_jpg	novel_no_separator	non-chapter	total_chunks
000061_Child_Manhattan-Millionaires---Skand_9783733716677.json	70	0	0	0	23	93
000062_Child_Tiffany-Extra-Hot-_-Sexy-Band-_9783733753887.json	43	0	0	0	9	52
000063_Claydon_Julia-Aerzte-zum-Verlieben-Band_9783733715632.json	34	0	0	0	10	44
000064_Claydon_Julia-Aerzte-zum-Verlieben-Band_9783751501569.json	33	0	0	0	10	43
000065_Claydon_Julia-Aerzte-zum-Verlieben-Band_9783751501613.json	35	0	0	0	10	45
000066_Colley_Im-Bann-der-Diamanten---Zwei-F_9783733727314.json	65	0	0	0	20	85
000067_Colter_Hochzeit-mit-dem-Boss_9783733727338.json	43	0	0	0	18	61
000068_Cotton_Jerry-Cotton-1---Krimi-Serie_9783732574506.json	0	19	0	0	5	24
000069_Cotton_Jerry-Cotton-3288---Krimi-Seri_9783732596546.json	0	0	7	0	6	13
000070_Courths-Mahler_Hedwig-Courths-Mahler---Folge-_9783732502929.json	0	16	0	0	6	22
000071_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557202.json	0	231	0	0	45	276
000072_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557226.json	0	248	0	0	45	293
000073_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557233.json	0	203	0	1	42	246
000074_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557240.json	0	221	0	0	45	266
000075_Courths-Mahler_Hedwig-Courths-Mahler-Grossband_9783732557257.json	0	263	0	0	45	308
000076_Crews_Braut-nur-nach-Freigabe_---5-t_9783733738167.json	59	0	0	0	21	80
000077_Crouch_Baccara-Spezial-Band-7_9783733729288.json	72	0	0	0	8	80
000078_Dan_Shocker's_Macabros_1_-_Dan_Shocker.json	0	44	0	0	4	48
000079_Darcy_Julia-Extra-Band-382_9783733704049.json	50	0	0	0	10	60
000080_Das_Haus_Zamis_0003_-_Ernst_Vlcek.json	5	0	0	0	9	14
000081_Das_Herz_des_griechischen_Milliardars_-_Emilie_Rose,_Rebecca_Winters,_Sharon_Kendr.json	42	0	0	0	16	58
000082_Das_McNeill_Imperium_-_Eine_machtige_Famil_-_Joanne_Rock.json	120	0	0	0	34	154
000083_Das_Horror-Schloß_im_Spessart.json	0	28	0	0	10	38
000084_Davenport_Das-Haus-Zamis-12_9783751714662.json	4	0	0	0	9	13
000085_Davenport_Das-Haus-Zamis-13_9783751714679.json	4	0	0	0	9	13
000086_Davenport_Das-Haus-Zamis-14_9783751714686.json	4	0	0	0	9	13
000087_Davenport_Das-Haus-Zamis-15_9783751714693.json	4	0	0	0	9	13
000088_Davenport_Das-Haus-Zamis-4_9783751705288.json	5	0	0	0	9	14
000089_Davenport_Das-Haus-Zamis-5_9783751705295.json	5	0	0	0	9	14
000090_Davenport_Das-Haus-Zamis-7_9783751708692.json	5	0	0	0	9	14
000091_Davenport_Das-Haus-Zamis-8_9783751709415.json	5	0	0	0	9	14
000092_Davenport_Dorian-Hunter-12---Horror-Seri_9783732576685.json	4	0	0	0	9	13
000093_Davenport_Dorian-Hunter-13---Horror-Seri_9783732576692.json	5	0	0	0	9	14
000094_Davenport_Dorian-Hunter-14---Horror-Seri_9783732577620.json	5	0	0	0	9	14
000095_Davenport_Dorian-Hunter-17---Horror-Seri_9783732579693.json	5	0	0	0	9	14
000096_Davenport_Dorian-Hunter-18---Horror-Seri_9783732580590.json	5	0	0	0	9	14
000097_Davenport_Dorian-Hunter-2---Horror-Serie_9783732569830.json	5	0	0	0	8	13
000098_Davenport_Dorian-Hunter-21---Horror-Seri_9783732581849.json	4	0	0	0	9	13
000099_Davenport_Dorian-Hunter-23---Horror-Seri_9783732583096.json	5	0	0	0	9	14
000100_Davenport_Dorian-Hunter-29---Horror-Seri_9783732587193.json	5	0	0	0	9	14
000101_Davenport_Dorian-Hunter-31---Horror-Seri_9783732588657.json	5	0	0	0	9	14
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json	5	0	0	0	9	14
000103_Davenport_Dorian-Hunter-35---Horror-Seri_9783732590964.json	5	0	0	0	9	14
000104_Davenport_Dorian-Hunter-37---Horror-Seri_9783732591923.json	4	0	0	0	9	13
000105_Davenport_Dorian-Hunter-39---Horror-Seri_9783732591947.json	5	0	0	0	9	14
000106_Davenport_Dorian-Hunter-4---Horror-Serie_9783732571802.json	4	0	0	1	8	13
000107_Davenport_Dorian-Hunter-44---Horror-Seri_9783732597963.json	4	0	0	0	9	13
000108_Davenport_Dorian-Hunter-47---Horror-Seri_9783732597994.json	4	0	0	0	9	13
000109_Davenport_Dorian-Hunter-7---Horror-Serie_9783732574056.json	5	0	0	0	9	14
000110_Davenport_Dorian-Hunter-9---Horror-Serie_9783732575008.json	5	0	0	0	9	14
000111_Der_Bergpfarrer_-_Paket_1_-_E-Book_1-50_-_Waidacher,_Toni.json	0	0	0	0	116	116
000112_Der_Hexer_01_-_Wolfgang_Hohlbein.json	1	0	0	0	13	14
000113_Der_Reiz_des_Fremden_-_Blind_Dates_mit_Fol_-_Ally_Blake,_Bonnie_Gardner,_Raye_Morgan,_L.json	64	0	0	0	23	87
000114_Der_kleine_Furst_-_Paket_1_-_E-Book_1-50_-_Maybach,_Viola.json	0	0	0	0	116	116
000115_Der_kleine_Fürst_Paket_1.json	0	0	0	0	116	116
000116_Der_schone_Fremde_in_meinem_Bett_-_Mollie_Molay.json	33	0	0	0	9	42
000117_Der_unheimliche_Mönch.json	0	32	0	0	10	42
000118_Deutsche_Balladen_(German_Editi_-_Avenarius,_Ferdinand.json	0	0	0	0	142	142
000119_Diaz_Baccara-Spezial-Band-14_9783751500814.json	65	0	0	0	8	73
000120_Die_Abrechnung_-_von_Frank_Callahan.json	0	0	32	0	5	37
000121_Die_Mafia_ladt_zum_Sterben_ein__-_Cotton,_Jerry.json	11	0	0	0	7	18
000122_Die_Milliardar-Kollektion_-_Sechs_leidensc_-_Lynne_Graham,_Maisey_Yates,_Kate_Hewitt.json	64	0	0	0	25	89
000123_Die_Schwarzen_Perlen_-_Folge_27_-_O._S._Winterfield.json	0	35	0	0	7	42
000124_Die_Widows-Connection_-_Jerry_Cotton.json	0	0	7	0	6	13
000125_Die_schonsten_Liebesromane_der_-_Lynn_Graham,_Robyn_Donald,_Liz_.json	45	0	0	0	8	53
000126_Die_schonsten_Liebesromane_der_Welt_-_Best_-_Caitlin_Crews,_Dani_Collins,_Maya_Blake,_T.json	135	0	0	0	37	172
000127_Die_schonsten_Liebesromane_der_Welt_-_Best_-_Lucy_Gordon,_Kate_Hardy,_Chantelle_Shaw,_S.json	149	0	0	0	33	182
000128_Die_schonsten_Liebesromane_der_Welt,_Band_-_Lynn_Graham,_Robyn_Donald,_Liz_Fielding,_L.json	45	0	0	0	8	53
000129_Die_schönsten_Liebesromane_der_Welt,_Band_285_nodrm.json	45	0	0	0	8	53
000130_Dino-Land_-_Folge_05_-_Frank_Rehfeld.json	0	24	0	0	9	33
000131_Doenges_Butler-Parker-206---Kriminalro_9783740974770.json	0	31	0	0	9	40
000132_Duarte_Bianca-Extra-Band-19_9783733732509.json	40	0	0	0	9	49
000133_Dunlop_Collection-Baccara-Band-356_9783733722586.json	32	0	0	0	10	42
000134_Dunlop_Collection-Baccara-Band-358_9783733722623.json	35	0	0	0	8	43
000135_Dunlop_Collection-Baccara-Band-360_9783733722661.json	38	0	0	0	9	47
000136_Eibner_Alpengold-327_9783732598670.json	0	30	0	0	6	36
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json	30	0	0	0	14	44
000138_Ein_Schlossherr_zum_Verlieben___-_Christina_Hollis___Sabrina_Phil.json	46	0	0	0	9	55
000139_Ein_Schlossherr_zum_Verlieben___Heisses_Ha_-_Christina_Hollis___Sabrina_Philips___Janet.json	46	0	0	0	9	55
000140_Ein_Schlossherr_zum_Verlieben___Heißes_Happy_End_in_Griechenland___Auf_der_Jacht_des_italienischen_Millionörs___Im_Licht_der_Wintersonne_nodrm.json	46	0	0	0	9	55
000141_Ein_skandaloses_Geheimnis_-_Leah_Vale.json	30	0	0	0	7	37
000143_Engstroem_Romana-Sommerliebe-Band-1_9783733742010.json	38	0	0	0	12	50
000144_Engstroem_Romana-Sommerliebe-Band-3_9783733744182.json	33	0	0	0	12	45
000145_Esch_Alpengold-246_9783732547333.json	0	25	0	0	6	31
000146_Eschbach_Alpengold-250_9783732551835.json	0	24	0	0	6	30
000147_Fernthaler_Alpengold-254_9783732554515.json	0	30	0	0	6	36
000148_Fernthaler_Alpengold-257_9783732554843.json	0	42	0	0	6	48
000149_Fernthaler_Alpengold-261_9783732557936.json	0	32	0	0	6	38
000150_Fernthaler_Alpengold-264_9783732560158.json	0	41	0	0	6	47
000151_Fernthaler_Alpengold-265_9783732560165.json	0	23	0	0	6	29
000152_Fernthaler_Alpengold-346_9783751710473.json	0	33	0	0	6	39
000153_Ferrarella_Bianca-Extra-Band-15_9783733732424.json	40	0	0	0	9	49
000154_Ferrarella_Bianca-Extra-Band-18_9783733732486.json	38	0	0	0	11	49
000155_Fetzer_Im-Dschungel-der-Lust_9783954467235.json	8	0	0	0	3	11
000156_Fleming_Dorian-Hunter-22---Horror-Seri_9783732583089.json	4	0	0	0	9	13
000157_Folge_mir_auf_mein_Schloss.json	43	0	0	0	8	51
000158_Froehlich_Maddrax-300_9783838712819.json	0	0	26	0	15	41
000159_Froehlich_Maddrax-312_9783838714882.json	0	0	29	0	12	41
000160_Froehlich_Maddrax-321_9783838718088.json	3	0	0	0	11	14
000161_Froehlich_Maddrax-338_9783838725826.json	0	0	27	0	11	38
000162_Froehlich_Maddrax-348_9783838744605.json	0	0	22	0	11	33
000163_Fursten-Roman_-_Folge_2428_-_Diana_Laurent.json	0	22	0	0	6	28
000164_Furstenkinder_-_8_-_Bezaubernde_neue_Mutti_-_Konig,_Regine.json	0	21	0	0	9	30
000165_Furstenkrone_-_Paket_1_-_E-Book_1-50_-_von_Grafenegg,_Roberta;_Martens,_Laura;_Wi.json	0	296	0	0	141	437
000166_Furstenkrone_-_Paket_2_-_E-Book_51-100_-_Martens,_Laura;_von_Kampen,_Jutta;_Maria,_.json	0	39	0	0	105	144
000167_Fürstenkrone_Kelter_1-50.json	0	296	0	0	141	437
000168_Fürstenkrone_Kelter_51-100.json	0	39	0	0	105	144
000169_Fürstenkrone_Paket_1.json	0	296	0	0	141	437
000170_Fürstenkrone_Paket_2.json	0	39	0	0	105	144
000171_G._F._Unger_Sonder-Edition_-_Folge_001__Ve_-_Unger,_G._F_.json	14	0	0	0	11	25
000172_G._F._Unger_Sonder-Edition_-_Folge_001__Verlorene_Stadt_(German_Edition).json	14	0	0	0	11	25
000173_G._F._Unger_Sonder-Edition_-_Folge_002__Ja_-_Unger,_G._F_.json	14	0	0	0	10	24
000174_G._F._Unger_Sonder-Edition_-_Folge_002__Jamie_und_Clyde_(German_Edition).json	14	0	0	0	10	24
000175_G._F._Unger_Sonder-Edition_-_Folge_003__Te_-_Unger,_G._F_.json	13	0	0	0	9	22
000176_G._F._Unger_Sonder-Edition_-_Folge_003__Texas-Marshal_(German_Edition).json	13	0	0	0	9	22
000177_G._F._Unger_Sonder-Edition_-_Folge_004__Fl_-_Unger,_G._F_.json	15	0	0	0	9	24
000178_G._F._Unger_Sonder-Edition_-_Folge_004__Flucht_durch_den_Blizzard_(German_Edition).json	15	0	0	0	9	24
000179_G._F._Unger_Sonder-Edition_-_Folge_005__Pf_-_Unger,_G._F_.json	14	0	0	0	11	25
000180_G._F._Unger_Sonder-Edition_-_Folge_005__Pferdejäger_(German_Edition).json	14	0	0	0	11	25
000181_G._F._Unger_Sonder-Edition_-_Folge_006__Di_-_Unger,_G._F_.json	13	0	0	0	12	25
000182_G._F._Unger_Sonder-Edition_-_Folge_006__Die_Gun-Sisters_(German_Edition).json	13	0	0	0	12	25
000183_G._F._Unger_Sonder-Edition_-_Folge_007__Co_-_Unger,_G._F_.json	14	0	0	0	11	25
000184_G._F._Unger_Sonder-Edition_-_Folge_007__Cowboy-Wege_(German_Edition).json	14	0	0	0	11	25
000185_G._F._Unger_Sonder-Edition_-_Folge_008__Ma_-_Unger,_G._F_.json	13	0	0	0	12	25
000186_G._F._Unger_Sonder-Edition_-_Folge_008__Main_Street_(German_Edition).json	13	0	0	0	12	25
000187_G._F._Unger_Sonder-Edition_-_Folge_009__Da_-_Unger,_G._F_.json	13	0	0	0	11	24
