Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
openai_gpt-oss-120b,0.8796992481203008,0.819657029478458,0.7829464285714286,0.7883864071944567,0.8865817795262149,133
openai_gpt-oss-20b,0.8571428571428571,0.7734760394644116,0.7924107142857143,0.7632559011869355,0.8768779113606698,133
moonshotai_kimi-k2-0905,0.9022556390977443,0.6732687946973661,0.6509285714285714,0.6595518207282913,0.9253301320528212,133
nvidia_nemotron-3-nano-30b-a3b,0.7218045112781954,0.676367053998633,0.6329084967320262,0.635097298255193,0.7533543544623876,133
deepseek_deepseek-v3.2,0.7368421052631579,0.5824563367666815,0.5802857142857143,0.5475765765765765,0.7619257603468129,133
