Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Samples
z-ai_glm-5,1.0,1.0,1.0,1.0,1.0,133
qwen_qwen3.5-397b-a17b,1.0,1.0,1.0,1.0,1.0,133
deepseek_deepseek-v3.2-speciale,0.9624060150375939,0.8361111111111111,0.8534965034965035,0.8421947142771482,0.9696937522796016,133
mistralai_mistral-large-2512,0.9398496240601504,0.7735042735042735,0.7593628593628594,0.7659530329433242,0.9643769618220307,133
meta-llama_llama-3.3-70b-instruct,0.849624060150376,0.8082107843137254,0.7392919580419581,0.7411320754716981,0.8660008511845652,133
